StartDate,EndDate,Duration (in seconds),ResponseId,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q14,Q26_10,Q26_9,Q26_7,Q26_8,Q26_5,Q26_12,Q27_4,Q27_10,Q27_9,Q27_7,Q27_8,Q27_11,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25
Start Date,End Date,Duration (in seconds),Response ID,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,Which subject assigns the most homework? (Select one),What is your favorite subject? (Drag to rank) - English,What is your favorite subject? (Drag to rank) - Fine Arts,What is your favorite subject? (Drag to rank) - History,What is your favorite subject? (Drag to rank) - Math,What is your favorite subject? (Drag to rank) - Science,What is your favorite subject? (Drag to rank) - World Language,What is your favorite Crystal tradition? (Drag to rank) - Snow Day,What is your favorite Crystal tradition? (Drag to rank) - Lip Sync,What is your favorite Crystal tradition? (Drag to rank) - PoP Week,What is your favorite Crystal tradition? (Drag to rank) - Secret Gryphon,What is your favorite Crystal tradition? (Drag to rank) - Trivia Bowl,What is your favorite Crystal tradition? (Drag to rank) - Halls,What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?
2/22/2021 11:34:24,2/22/2021 11:42:38,493,R_3phcDHT0tE3m1TO,3.8,1,0,0,8,0.6,0.6,7.8,8.8,1,3,4,2,4,2,4,3,1,Sports,3,4,1,2,0,0.5,Math,3,4,5,6,1,2,1,2,3,4,5,6,7,Male,,4,30 to 60 minutes,"Hispanic or Latina/o/x,White",,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 15:19:23,2/22/2021 15:22:39,196,R_3EbtQblHRXHLnO6,6.3,0,0,0,0,1.8,1,8.2,9.5,2,1,4,3,4.8,2,3,4,1,Visual Arts,1,2,3,4,3,2.3,Math,2,1,4,6,3,5,1,3,2,4,5,6,7,Female,,4,15 to 30 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:37,2/22/2021 11:40:24,286,R_28zG1CbCRVC6R3n,3,4,0,0,2,2,1,8,9.5,1,2,3,4,8.4,2,3,4,1,theater,3,2,4,1,5,5,Science,2,1,3,6,4,5,1,3,2,4,5,6,8,Female,,3 or fewer,15 to 30 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:20,2/22/2021 11:42:57,516,R_3j1hkjJHUD89a91,6,0,0,0,4,1.5,0,8,10,3,1,4,2,5,1,2,3,4,Clubs,3,1,2,4,0,3,World Language,1,5,4,2,3,6,1,5,2,6,3,4,7,Male,,5,30 to 60 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 19:03:52,2/22/2021 19:10:09,377,R_w11W7C8AUoLpTuF,5.3,10,2,9,15,7.1,3,8,10,1,4,2,3,8.2,1,2,4,3,Sports.,1,2,3,4,3,3.1,Math,5,2,6,1,3,4,1,2,3,4,6,5,6,Male,,4,30 to 60 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:24:56,2/22/2021 11:33:24,507,R_2uZBiSlqdwrkKJw,6.7,12,1,3,10,2,2.6,8.3,11,1,4,3,2,6.8,3,4,2,1,The arts rotation (not including music),4,3,1,2,5,1.9,Math,1,4,2,5,6,3,2,1,3,4,6,5,6,Female,,3 or fewer,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:58,2/22/2021 11:42:23,445,R_2zjdBAPYGcu7Rkl,5,4,4,1,4,2,1.6,9,9,3,4,2,1,8.3,2,4,3,1,Soccer,4,1,2,3,1,3.8,Math,1,3,5,6,4,2,1,3,2,4,6,5,7,Female,,4,Less than 15 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:39,2/22/2021 11:44:55,555,R_3KupDSxb41XuNwv,6,4,0,0,9,3,9.3,7,7.5,2,4,3,1,5,3,1,2,4,Debate and Computer Science,2,1,3,4,3,5,Math,5,6,4,1,2,3,4,3,1,5,6,2,8,Male,,3 or fewer,60 minutes or more,"Black or African-American,Hispanic or Latina/o/x,Multiracial",,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:38:54,2/22/2021 13:03:29,5074,R_3KILQtcPss1sA5f,6.1,5,1,4,8,1.8,1.5,6.8,8.8,1,3,2,4,7,2,4,1,3,Flag Football,2,3,1,4,5,1.8,Math,3,5,2,4,1,6,1,2,3,5,4,6,8,Male,,4,15 to 30 minutes,"Asian: East Asian,Asian: Indian or South/Southeast Asian,Multiracial,White",,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:30,2/22/2021 12:55:46,4815,R_6m7Vs7JPfZTbj1L,4.7,12,4,0,7,2,2.3,8,10,2,4,1,3,6.1,2,3,4,1,Robotics ,1,4,2,3,3,2.9,World Language,6,3,5,2,1,4,2,4,1,3,6,5,8,Male,,4,15 to 30 minutes,Multiracial,,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:51,2/22/2021 11:42:10,378,R_1IKj3r80QPtqVc5,5.3,4,0,0,8,0.8,1.2,8.6,9.1,2,1,3,4,6.3,1,3,2,4,,3,4,1,2,2,2.5,Math,2,3,5,1,6,4,1,2,3,4,5,6,8,Male,,4,15 to 30 minutes,White,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:22,2/22/2021 11:39:20,237,R_dnlzjzVihaQ1cgF,7.3,3,1,0,14,3.1,2,6,8,1,3,2,4,8,2,1,4,3,Probably clubs,3,2,4,1,3,1,English,6,5,1,2,4,3,1,2,4,3,5,6,8,Female,,3 or fewer,15 to 30 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 12:08:06,2/22/2021 12:31:04,1378,R_xDG7ZmaoiC9cLfz,2.5,6,0,1,2,2.5,2.7,8.5,9,1,2,4,3,1.3,1,2,4,3,I love the Bullet Journaling (sorry if I spelled that wrong) Club!,2,3,1,4,1,2.5,Math,1,6,3,4,2,5,1,5,3,2,6,4,7,Female,,4,15 to 30 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,Not sure/Prefer not to answer
2/22/2021 11:36:15,2/22/2021 11:42:40,384,R_2P0aIcAeYTWzM80,3,6,1,3,4,3,1.8,9.5,10.4,4,1,3,2,8.7,2,4,3,1,the play and musical,1,2,4,3,4,5,Math,2,4,6,5,1,3,1,2,3,4,6,5,7,Female,,4,15 to 30 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 12:02:09,2/22/2021 12:07:45,336,R_1gu1nbgGUYY1978,8,10,0,5,20,4,7,9,9.5,2,1,3,4,4.8,1,2,3,4,Coding,2,1,3,4,3,2,Math,5,4,3,1,2,6,1,6,4,2,3,5,6,Prefer not to answer,,Prefer not to answer,Prefer not to answer,Prefer not to answer,,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 11:35:02,2/22/2021 11:38:46,224,R_2t2VOhe33Z1XoAK,6,4,2,4,6,1.3,0.6,11,9.5,1,2,4,3,3.4,4,3,2,1,The Play.,4,2,1,3,2,0.9,Math,2,5,6,3,1,4,2,1,3,5,4,6,7,Male,,5,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 19:43:52,2/22/2021 19:48:44,292,R_2S2hoDajuP8w30j,8,17,5,1,5,4.9,11.7,6.7,9.3,1,2,4,3,7.2,1,3,2,4,,4,3,2,1,3,4,Math,6,3,2,4,1,5,1,3,2,6,4,5,8,Male,,4,15 to 30 minutes,Multiracial,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:45,2/22/2021 11:45:44,539,R_31hAYiC4Cmrkpoy,9,6,0,0,0,4.3,3.5,7,8,1,2,4,3,6.7,1,4,3,2,Not sure,3,2,1,4,4,1.7,Math,3,2,5,4,6,1,1,5,2,3,6,4,8,Male,,3 or fewer,15 to 30 minutes,White,,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:35:31,2/22/2021 11:44:43,552,R_2v3beuz5ypYtEmw,4.7,2,0,1,2,2,1.3,7.6,10,4,3,1,2,8,1,2,4,3,I liked the discussion club. It’s good to talk to people.,4,3,2,1,1,1,English,6,5,1,4,3,2,2,6,1,5,4,3,8,Male,,3 or fewer,Less than 15 minutes,White,,Other (optional specification),"It’s tricky. My family is mostly Jewish and I practice some Jewish traditions, but I don’t believe in got or prayer or the Torah or anything like that so I guess mostly atheist.","Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:39,2/22/2021 11:43:47,487,R_2xRXxHrJ5EPb0CN,10,20,16,20,0,4.5,7.3,3.6,5.6,1,4,3,2,0.1,2,1,3,4,💩 💩 💩 ,3,2,1,4,4,0.6,Science,,,,,,,1,2,4,3,5,6,8,Other (optional specification),Barfing emoji 🤮 🤮 ,Prefer not to answer,Prefer not to answer,Prefer to self-describe,Rwandan,Other (optional specification),🤷‍♀️ ,Not sure/Prefer not to answer
2/22/2021 11:29:48,2/22/2021 11:37:03,434,R_3RjuKbhT1KHmnUp,7,8,1,4,6,2,3,4,4.3,1,3,2,4,7,3,4,2,1,the musical,2,3,4,1,2,3,Science,1,3,5,2,6,4,1,2,3,4,6,5,7,Female,,4,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:35:58,2/22/2021 11:41:10,312,R_2cCqfUorWn1fE0x,6.1,4,2,3,2,1,2,8,11,1,2,3,4,3,2,3,4,1,Musical/Play rehearsals,2,1,4,3,5,1.4,Fine Arts,1,6,2,3,4,5,1,3,2,4,6,5,6,Female,,3 or fewer,30 to 60 minutes,Asian: Indian or South/Southeast Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:08,2/22/2021 11:39:13,185,R_1QuZJpeCrPHbJUi,7.5,7,1,4,6,1.2,2.5,9,10,2,1,4,3,10,2,1,3,4,"Coding, Computer Science",3,1,2,4,5,2.5,English,3,6,5,1,2,4,1,2,3,4,5,6,6,Male,,3 or fewer,15 to 30 minutes,American Indian or Alaskan Native,,Other (optional specification),Jain,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:36,2/22/2021 11:40:46,309,R_Q0bEzFqIV11aUzT,10,4,10,1,5,3,4,6,10.5,2,4,1,3,5,3,2,4,1,,2,1,3,4,1,2,World Language,1,2,3,4,5,6,1,2,3,4,5,6,7,Male,,4,Less than 15 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:57,2/22/2021 11:41:08,250,R_2wuHDztfirN8T10,5.1,12,4,2,20,1.2,2.4,9.9,11.6,1,3,2,4,9.9,1,3,2,4,Sports,4,1,2,3,5,4.5,World Language,2,4,1,3,5,6,2,3,1,5,4,6,6,Male,,4,15 to 30 minutes,"Asian: Indian or South/Southeast Asian,Hispanic or Latina/o/x",,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:24:52,2/22/2021 11:37:24,751,R_ApJBkn7pQxQtczf,6.2,5,0,4,2,0.6,0.5,9,8,1,3,2,4,3,2,4,3,1,"Fine Arts, the play and musical",4,3,2,1,5,5,Math,1,3,2,6,4,5,1,2,3,4,5,6,6,Female,,5,15 to 30 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 15:52:52,2/22/2021 15:58:44,352,R_2ARoPnGYmXGQm8y,8.7,15,3,10,15,3.5,8,7,9,4,1,3,2,7.5,1,3,2,4,Clubs Period,2,4,3,1,4,2.5,World Language,1,6,5,3,2,4,1,4,3,2,5,6,8,Female,,5,15 to 30 minutes,"Asian: East Asian,Multiracial,Native Hawaiian or Other Pacific Islander,White",,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 18:48:16,2/22/2021 19:03:07,891,R_1ZVpvXmFxq5saCB,7.7,0,0,0,20,1,2,8,12,2,1,3,4,0,1,2,3,4,Nothing,1,2,3,4,0,0,Math,2,6,4,1,3,5,1,6,5,2,4,3,7,Male,,4,15 to 30 minutes,Multiracial,,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 11:25:19,2/22/2021 11:30:29,310,R_1jfXiKlURAJC1fV,3.4,16,0,3,0,6.3,4,9,11,4,1,2,3,7.2,2,3,1,4,"Robotics, and Computer science",1,4,2,3,3,2.1,World Language,2,4,5,3,1,6,3,4,1,5,6,2,8,Male,,3 or fewer,30 to 60 minutes,Black or African-American,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:37:39,2/22/2021 11:45:52,493,R_1o5dW4V2DpBLwWi,6.5,20,1,2,20,2.2,2,9,10.5,3,1,2,4,10,2,3,1,4,SPORTS,4,1,3,2,2,3.8,Math,1,2,3,6,4,5,2,3,1,4,5,6,7,Male,,5,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:00,2/22/2021 11:45:11,610,R_332wJKYaGj0iGOB,6,1,0,8,0,2,3,9,9,2,1,3,4,4,1,3,4,2,The seasonal plays,1,4,2,3,3,3.5,Math,3,2,5,6,1,4,1,5,2,3,4,6,7,Male,,3 or fewer,15 to 30 minutes,"American Indian or Alaskan Native,Black or African-American,White",,Atheist,,Not sure/Prefer not to answer
2/22/2021 11:35:56,2/22/2021 11:41:09,312,R_2PjRL7XNHV2i5QK,7.4,12,1,4,3,0.9,0.6,10.2,11.8,1,2,4,3,6.8,2,4,3,1,Musical rehearsals ,4,2,3,1,5,4.5,Math,2,1,4,5,3,6,2,3,1,4,5,6,6,Female,,4,Less than 15 minutes,Prefer not to answer,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 17:44:49,2/22/2021 17:50:47,358,R_1dFYC0KQdABc8t6,7,0,0,0,6,0.5,0.3,8,8.7,3,1,2,4,9.6,2,4,1,3,Sports,3,1,2,4,5,3.5,World Language,1,5,3,2,4,6,1,2,3,4,6,5,6,Female,,3 or fewer,15 to 30 minutes,White,,Other (optional specification),None,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:31:32,2/22/2021 11:36:31,298,R_RsNjduWIkgmor9T,5,12,7,10,2,3,8,10,11,1,2,3,4,6,1,3,4,2,,4,2,3,1,5,5,Math,1,6,2,5,4,3,1,3,2,6,4,5,6,Female,,5,30 to 60 minutes,Hispanic or Latina/o/x,,"Christian (Protestant, Catholic, Orthodox, etc.)",,Not sure/Prefer not to answer
2/22/2021 11:23:44,2/22/2021 12:12:33,2929,R_XTVMU1voCo3aag9,5,8,0,4,4,1,2,8.5,9,1,4,2,3,8,3,2,1,4,Instrumentals should be an extracurricular,1,4,2,3,3,3,Science,2,3,5,4,1,6,1,3,2,4,5,6,7,Male,,4,Less than 15 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:35,2/22/2021 11:40:04,328,R_7OqFOqSRV5C2tax,6.4,3,1,1,7,2,3,8,7.5,1,3,2,4,7.5,1,3,4,2,Club-period Clubs,1,4,2,3,1,2.7,Math,5,4,6,1,3,2,1,5,2,4,3,6,7,Non-binary,,4,Less than 15 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:29,2/22/2021 11:40:02,333,R_1lymqjZfe1oryXM,7.1,0,0,4,3,1.2,1.1,8,9.5,1,3,4,2,4.5,1,3,4,2,Visual arts! ,1,3,2,4,5,0.5,Math,1,4,2,6,3,5,3,2,1,4,6,5,6,Female,,4,Less than 15 minutes,White,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:27:47,2/22/2021 11:32:44,297,R_1pWkCZQDOxF24BY,6.7,11,4,4,9,2.5,3.7,8,7.6,2,1,4,3,7.1,3,4,1,2,I really like the sports. ,3,2,4,1,1,1.6,World Language,1,2,3,5,4,6,1,3,4,2,5,6,7,Female,,4,Less than 15 minutes,"Asian: East Asian,Asian: Indian or South/Southeast Asian,White",,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:37:19,2/22/2021 11:44:36,436,R_3Kr7ZtHWHyJ1gP2,8.2,4,1,3,20,2,1.5,7.6,8.9,3,1,2,4,9,3,4,1,2,Golf,1,3,2,4,5,3,Math,1,3,2,6,5,4,1,2,4,3,5,6,8,Male,,3 or fewer,15 to 30 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,Not sure/Prefer not to answer
2/22/2021 11:35:47,2/22/2021 11:43:48,481,R_barh92O5fXZIKqt,5.3,8,3,3,9,1.7,4,7,10,4,3,2,1,6.9,2,4,1,3,Sports.,2,4,1,3,4,3,Math,2,6,3,1,4,5,1,6,3,2,5,4,6,Male,,4,15 to 30 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:37:50,2/22/2021 12:35:48,3478,R_0SWjlcyaHFUm5Rn,7.5,6,1,2,10,5,6,8,9,1,3,2,4,1.7,2,3,1,4,golf,2,1,4,3,2,0.9,English,6,2,4,1,3,5,1,3,4,2,5,6,8,Male,,4,30 to 60 minutes,Asian: Indian or South/Southeast Asian,,Atheist,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
