StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q14,Q26_10,Q26_9,Q26_7,Q26_8,Q26_5,Q26_12,Q27_4,Q27_10,Q27_9,Q27_7,Q27_8,Q27_11,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,Which subject assigns the most homework? (Select one),What is your favorite subject? (Drag to rank) - English,What is your favorite subject? (Drag to rank) - Fine Arts,What is your favorite subject? (Drag to rank) - History,What is your favorite subject? (Drag to rank) - Math,What is your favorite subject? (Drag to rank) - Science,What is your favorite subject? (Drag to rank) - World Language,What is your favorite Crystal tradition? (Drag to rank) - Snow Day,What is your favorite Crystal tradition? (Drag to rank) - Lip Sync,What is your favorite Crystal tradition? (Drag to rank) - PoP Week,What is your favorite Crystal tradition? (Drag to rank) - Secret Gryphon,What is your favorite Crystal tradition? (Drag to rank) - Trivia Bowl,What is your favorite Crystal tradition? (Drag to rank) - Halls,What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?
2/22/2021 11:24:02,2/22/2021 11:27:08,IP Address,100,185,True,2/22/2021 11:27:09,R_BAfNsSCdBcEneKd,gl,EN,10,5,1,2,0,7.2,7.4,4,6.1,2,1,4,3,5.3,2,4,1,3,,1,4,2,3,3,3,World Language,2,1,3,5,4,6,1,2,3,5,6,4,7,Male,,Prefer not to answer,15 to 30 minutes,Prefer not to answer,,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:25:57,2/22/2021 11:28:51,IP Address,100,174,True,2/22/2021 11:28:52,R_1gNQgHCDHv3lUOh,gl,EN,5.3,10,1,2,7,3.5,4.2,5.1,8.4,2,1,3,4,10,1,4,3,2,Clubs,2,3,4,1,3,5,Math,2,1,4,6,5,3,1,2,3,5,4,6,8,Female,,4,60 minutes or more,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:22:43,2/22/2021 11:29:06,IP Address,100,383,True,2/22/2021 11:29:06,R_3O1ygTK6XK8OejH,gl,EN,5,8,1,2,7,6,0.5,8,10,2,1,3,4,8,1,4,2,3,Clubs.,1,3,2,4,3,2,Math,1,5,2,6,4,3,1,2,3,5,4,6,6,Female,,5,15 to 30 minutes,Asian: East Asian,,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:24:27,2/22/2021 11:29:47,IP Address,100,319,True,2/22/2021 11:29:47,R_2aFuCn0uHTSuihT,gl,EN,10,16,10,0,8,12,12,5.3,8.9,1,3,2,4,10,1,3,4,2,Less work,3,1,4,2,5,5,Science,2,3,4,6,5,1,1,3,2,4,6,5,7,Male,,Prefer not to answer,60 minutes or more,"Asian: Indian or South/Southeast Asian,Middle Eastern",,Other (optional specification),Christian Zoro Muslim Jew Sikh I’Baha,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:23:40,2/22/2021 11:30:06,IP Address,100,386,True,2/22/2021 11:30:06,R_cA3Iim9gD5XCw1j,gl,EN,7.7,10,1,5,7,1.9,4,8.7,9.7,4,1,2,3,8.7,3,1,2,4,I would choose to be on the soccer team.,1,2,4,3,5,4.7,Math,3,5,1,2,4,6,1,2,3,6,4,5,6,Male,,4,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,Sikh,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:23:08,2/22/2021 11:30:19,IP Address,100,431,True,2/22/2021 11:30:20,R_2QLFsD9NLrmr034,gl,EN,3,5,1,1,8,1.2,1,9,8.5,4,1,2,3,2,1,2,3,4,Idk yet,3,4,2,1,5,3,Math,1,6,2,3,5,4,4,2,1,6,5,3,6,Female,,6 or more,30 to 60 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:25:19,2/22/2021 11:30:29,IP Address,100,310,True,2/22/2021 11:30:30,R_1jfXiKlURAJC1fV,gl,EN,3.4,16,0,3,0,6.3,4,9,11,4,1,2,3,7.2,2,3,1,4,"Robotics, and Computer science",1,4,2,3,3,2.1,World Language,2,4,5,3,1,6,3,4,1,5,6,2,8,Male,,3 or fewer,30 to 60 minutes,Black or African-American,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:24:00,2/22/2021 11:31:47,IP Address,100,467,True,2/22/2021 11:31:48,R_3sn4z9w4lz5UYZO,gl,EN,7.5,2,0,0,2,1.6,2.4,6.1,10.1,2,1,3,4,4.5,2,3,4,1,Dance,2,3,4,1,1,2.5,World Language,2,1,4,3,5,6,1,4,2,3,5,6,7,Female,,5,30 to 60 minutes,Asian: East Asian,,Other (optional specification),,Not sure/Prefer not to answer
2/22/2021 11:24:31,2/22/2021 11:32:17,IP Address,100,466,True,2/22/2021 11:32:18,R_1d9T1j3rfOm11Zl,gl,EN,6,8,7,7,12,2,4.5,9,9.5,2,1,4,3,6,1,3,2,4,,3,1,2,4,3,3,Math,1,5,3,6,2,4,1,3,2,4,5,6,6,Male,,4,Less than 15 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:27:47,2/22/2021 11:32:44,IP Address,100,297,True,2/22/2021 11:32:45,R_1pWkCZQDOxF24BY,gl,EN,6.7,11,4,4,9,2.5,3.7,8,7.6,2,1,4,3,7.1,3,4,1,2,I really like the sports. ,3,2,4,1,1,1.6,World Language,1,2,3,5,4,6,1,3,4,2,5,6,7,Female,,4,Less than 15 minutes,"Asian: East Asian,Asian: Indian or South/Southeast Asian,White",,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:24:56,2/22/2021 11:33:24,IP Address,100,507,True,2/22/2021 11:33:24,R_2uZBiSlqdwrkKJw,gl,EN,6.7,12,1,3,10,2,2.6,8.3,11,1,4,3,2,6.8,3,4,2,1,The arts rotation (not including music),4,3,1,2,5,1.9,Math,1,4,2,5,6,3,2,1,3,4,6,5,6,Female,,3 or fewer,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:24:06,2/22/2021 11:33:40,IP Address,100,573,True,2/22/2021 11:33:40,R_1DRMYaMncekD6N5,gl,EN,5,20,0,4,7,0.5,0.3,10.5,12,2,1,3,4,5,2,1,3,4,Debate Club,4,2,1,3,4,4,English,3,4,1,6,2,5,1,4,2,3,6,5,6,Male,,4,15 to 30 minutes,Prefer to self-describe,"An Indian-American (As in from India, not native American) who speaks very good Chinese",Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:28:41,2/22/2021 11:35:05,IP Address,100,383,True,2/22/2021 11:35:05,R_1hDL98aqqeqYZwk,gl,EN,6.5,16,3,3,4,2,2.5,10,11,4,2,3,1,10,2,3,4,1,The musical and play!,1,2,4,3,4,5,Math,2,1,4,6,5,3,1,2,3,5,6,4,6,Female,,5,15 to 30 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:26:32,2/22/2021 11:35:53,IP Address,100,560,True,2/22/2021 11:35:53,R_30dcohcdmAJhKQe,gl,EN,7.2,6,2,8,4,1.7,6.3,9.7,9,1,3,4,2,7.5,2,3,1,4,Flag Football,1,2,3,4,5,1.6,Math,5,6,1,4,3,2,1,3,2,4,5,6,6,Male,,5,15 to 30 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:31:32,2/22/2021 11:36:31,IP Address,100,298,True,2/22/2021 11:36:31,R_RsNjduWIkgmor9T,gl,EN,5,12,7,10,2,3,8,10,11,1,2,3,4,6,1,3,4,2,,4,2,3,1,5,5,Math,1,6,2,5,4,3,1,3,2,6,4,5,6,Female,,5,30 to 60 minutes,Hispanic or Latina/o/x,,"Christian (Protestant, Catholic, Orthodox, etc.)",,Not sure/Prefer not to answer
2/22/2021 11:23:25,2/22/2021 11:36:45,IP Address,100,800,True,2/22/2021 11:36:45,R_2fjIPXp6FABWej4,gl,EN,5.6,11,11,12,20,1.6,2.4,9.9,11.1,2,1,3,4,4.2,3,2,4,1,The musical ,2,4,3,1,5,1.3,Math,2,3,5,4,1,6,2,1,3,4,5,6,6,Female,,5,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:29:48,2/22/2021 11:37:03,IP Address,100,434,True,2/22/2021 11:37:03,R_3RjuKbhT1KHmnUp,gl,EN,7,8,1,4,6,2,3,4,4.3,1,3,2,4,7,3,4,2,1,the musical,2,3,4,1,2,3,Science,1,3,5,2,6,4,1,2,3,4,6,5,7,Female,,4,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:24:52,2/22/2021 11:37:24,IP Address,100,751,True,2/22/2021 11:37:24,R_ApJBkn7pQxQtczf,gl,EN,6.2,5,0,4,2,0.6,0.5,9,8,1,3,2,4,3,2,4,3,1,"Fine Arts, the play and musical",4,3,2,1,5,5,Math,1,3,2,6,4,5,1,2,3,4,5,6,6,Female,,5,15 to 30 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:26:43,2/22/2021 11:37:30,IP Address,100,646,True,2/22/2021 11:37:30,R_3nVkt2LxNgkm1wr,gl,EN,8.1,5,0,1,1,3,2.5,5.5,9,1,2,3,4,8,3,4,1,2,,3,1,4,2,4,2.4,Math,2,4,5,6,3,1,1,2,3,4,5,6,8,Female,,5,Less than 15 minutes,"Asian: Indian or South/Southeast Asian,Multiracial",,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:31:23,2/22/2021 11:38:02,IP Address,100,398,True,2/22/2021 11:38:02,R_2U0l2SAyN2qB8nS,gl,EN,10,4,0,0,10,2,7,7,9.5,4,3,2,1,6,1,4,2,3,,2,4,3,1,0,0,Math,3,4,2,1,5,6,2,6,3,5,4,1,8,Prefer not to answer,,Prefer not to answer,30 to 60 minutes,Multiracial,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:24,2/22/2021 11:38:06,IP Address,100,221,True,2/22/2021 11:38:06,R_1C2uNLnAyovGB4f,gl,EN,8.7,1,0,0,20,2,3.6,8.6,10,2,1,3,4,4.1,2,4,1,3,Fine Arts,1,4,3,2,0,0.3,History,2,6,3,1,5,4,1,6,2,3,4,5,8,Male,,6 or more,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:02,2/22/2021 11:38:46,IP Address,100,224,True,2/22/2021 11:38:47,R_2t2VOhe33Z1XoAK,gl,EN,6,4,2,4,6,1.3,0.6,11,9.5,1,2,4,3,3.4,4,3,2,1,The Play.,4,2,1,3,2,0.9,Math,2,5,6,3,1,4,2,1,3,5,4,6,7,Male,,5,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:24:16,2/22/2021 11:38:52,IP Address,100,876,True,2/22/2021 11:38:53,R_1n2wA2wXzT34FsW,gl,EN,7.2,3,0,0,4,3,5,7.4,9.6,2,1,3,4,3.7,2,3,1,4,Basketball,3,4,1,2,3,3.1,Math,3,6,5,4,2,1,1,4,2,3,5,6,7,Male,,3 or fewer,15 to 30 minutes,"Middle Eastern,White",,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:11,2/22/2021 11:38:55,IP Address,100,284,True,2/22/2021 11:38:56,R_OlNy3oMjh5RgmxH,gl,EN,4,9,0,2,14,2,2,7.6,10.6,4,1,2,3,5,1,2,4,3,Clubs,4,1,2,3,3,3,Math,3,6,4,2,1,5,1,5,2,3,4,6,7,Female,,4,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:33:11,2/22/2021 11:39:04,IP Address,100,352,True,2/22/2021 11:39:04,R_a3i5E1j7WjDxtF7,gl,EN,5.7,7,2,5,0,1,0.3,9,9,1,3,4,2,5,1,2,4,3,Robotics,1,2,3,4,5,5,Math,2,4,1,6,3,5,1,3,2,4,5,6,6,Male,,4,Less than 15 minutes,Prefer not to answer,,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 11:34:55,2/22/2021 11:39:09,IP Address,100,253,True,2/22/2021 11:39:10,R_3J3PmdeJXOWq48R,gl,EN,7.4,10,1,1,12,2,3,7,8.5,2,1,3,4,6,1,3,4,2,Clubs,3,4,2,1,4,4.7,English,1,3,6,2,4,5,1,2,3,5,6,4,8,Female,,4,15 to 30 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:55,2/22/2021 11:39:11,IP Address,100,256,True,2/22/2021 11:39:12,R_27dTcXZX5qRxniP,gl,EN,6,9,2,0,5,1,2,8.5,12,2,1,4,3,5,1,4,2,3,The clubs period,1,3,2,4,1,2.5,Math,2,3,5,4,1,6,1,4,2,3,6,5,7,Male,,5,15 to 30 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:08,2/22/2021 11:39:13,IP Address,100,185,True,2/22/2021 11:39:14,R_1QuZJpeCrPHbJUi,gl,EN,7.5,7,1,4,6,1.2,2.5,9,10,2,1,4,3,10,2,1,3,4,"Coding, Computer Science",3,1,2,4,5,2.5,English,3,6,5,1,2,4,1,2,3,4,5,6,6,Male,,3 or fewer,15 to 30 minutes,American Indian or Alaskan Native,,Other (optional specification),Jain,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:27,2/22/2021 11:39:14,IP Address,100,227,True,2/22/2021 11:39:14,R_sta52ZCp4xiQKAx,gl,EN,5.5,8,0,2,2,1,0.2,7,8,2,1,3,4,10,2,3,1,4,Sports,3,1,2,4,0,4,Math,1,4,5,2,6,3,1,2,3,4,6,5,7,Male,,5,30 to 60 minutes,"Asian: Indian or South/Southeast Asian,White",,Atheist,,Not sure/Prefer not to answer
